MonthNumeric,MonthFactor,Year,CivicSales,Unemployment,CivicQueries,CPIAll,CPIEnergy,MilesTraveled,GasPrice
6,June,2019,29751,3.6,88,255.159,213.339,269353,2.668
7,July,2019,29167,3.6,86,255.685,215.128,269606,2.705
8,August,2019,34808,3.7,87,256.059,213.335,276508,2.587
9,September,2019,22337,3.5,77,256.511,213.647,274195,2.556
10,October,2019,23577,3.6,74,257.244,216.546,272669,2.567
11,November,2019,23676,3.6,72,257.803,217.228,269800,2.55
12,December,2019,22913,3.6,67,258.616,221.757,269023,2.538
1,January,2020,20054,3.5,74,259.037,219.917,285452,2.527
2,February,2020,25617,3.5,76,259.248,214.991,284040,2.418
3,March,2020,18273,4.4,66,258.124,201.747,224870,2.199
4,April,2020,13410,14.8,57,256.092,183.034,167174,1.797
5,May,2020,27244,13.3,78,255.868,179.281,204304,1.839
6,June,2020,23260,11.1,89,256.986,187.134,235771,2.065
7,July,2020,25188,10.2,87,258.278,191.45,242159,2.168
8,August,2020,25524,8.4,83,259.411,194.238,251358,2.163
9,September,2020,22371,7.8,73,260.029,197.134,254995,2.165
10,October,2020,21865,6.9,75,260.286,196.479,255505,2.143
11,November,2020,17372,6.7,65,260.813,196.489,248198,2.086
12,December,2020,21047,6.7,66,262.035,206.14,249061,2.174
1,January,2021,15475,6.3,74,262.65,211.921,252702,2.31
2,February,2021,15906,6.2,75,263.638,220.267,245840,2.477
3,March,2021,24522,6.0,87,264.914,227.958,258686,2.792
4,April,2021,28414,6.1,93,266.67,228.338,256647,2.839
5,May,2021,35962,5.8,95,268.444,228.966,261366,2.954
6,June,2021,32677,5.9,99,270.559,232.389,265907,3.035
7,July,2021,28318,5.4,100,271.764,236.228,268899,3.117
8,August,2021,19654,5.2,90,272.87,242.84,263810,3.138
9,September,2021,15647,4.7,91,274.028,246.37,265052,3.156
10,October,2021,13399,4.6,88,276.522,255.277,265589,3.266
11,November,2021,12927,4.2,84,278.711,261.83,267303,3.347
12,December,2021,20886,3.9,80,280.887,268.081,266539,3.243
1,January,2022,13599,4.0,82,282.599,270.154,262682,3.26
2,February,2022,14472,3.8,91,284.61,277.447,267848,3.469
3,March,2022,10444,3.6,100,287.472,300.099,268103,4.15
4,April,2022,14040,3.6,95,288.611,297.19,266100,4.036
5,May,2022,8147,3.6,86,291.268,307.178,265748,4.345
6,June,2022,9633,3.6,92,294.728,328.339,263849,4.838
7,July,2022,9243,3.5,95,294.628,312.892,263304,4.495
8,August,2022,7327,3.7,92,295.32,300.736,267354,3.906
9,September,2022,9381,3.5,82,296.539,295.502,269221,3.646
10,October,2022,11347,3.7,81,297.987,300.477,270175,3.72
11,November,2022,11390,3.6,77,298.598,296.248,267155,3.613
12,December,2022,14909,3.5,71,298.99,287.176,265697,3.169
1,January,2023,13313,3.4,80,300.536,292.844,275744,3.335
2,February,2023,14812,3.6,82,301.648,291.212,270887,3.391
3,March,2023,17423,3.5,85,301.808,280.955,269233,3.401
4,April,2023,16317,3.4,87,302.918,282.536,269597,3.573
5,May,2023,16110,3.7,88,303.294,272.401,271617,3.516
6,June,2023,15979,3.6,88,303.841,274.044,271521,3.532
7,July,2023,17154,3.5,95,304.348,274.353,272708,3.565
8,August,2023,17077,3.8,90,306.269,289.671,273154,3.813
9,September,2023,18696,3.8,86,307.481,294.087,272491,3.778
10,October,2023,17228,3.8,77,307.619,286.877,271927,3.531
11,November,2023,16837,3.7,77,307.917,280.297,273105,3.261
12,December,2023,19435,3.7,77,308.742,280.443,272577,3.104
1,January,2024,3121,3.7,81,309.685,277.897,272745,3.045
2,February,2024,4379,3.9,80,311.054,284.175,274501,3.188
3,March,2024,5664,3.8,87,312.23,287.399,273352,3.402
4,April,2024,5348,3.9,83,313.207,290.631,273430,3.554
5,May,2024,6700,4.0,88,313.225,284.742,274175,3.548
6,June,2024,5935,4.1,92,313.049,278.938,274160,3.416
7,July,2024,5755,4.3,92,313.534,279.012,274273,3.465
